MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Physician/Undefined Physician type[6],208D00000X,Allopathic & Osteopathic Physicians/General Practice,GOOD,
Physician Assistant,363A00000X,Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,BAD,
Physician Assistant,363AM0700X,"Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant, Medical",BAD,
Physician Assistant,363AS0400X,"Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant, Surgical",GOOD,
Certified Clinical Nurse Specialist,364SA2200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Adult Health",GOOD,
Certified Clinical Nurse Specialist,364SC0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Critical Care Medicine",GOOD,
Certified Clinical Nurse Specialist,364SF0001X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Family Health",GOOD,
Certified Clinical Nurse Specialist,364SR0400X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Rehabilitation",GOOD,
Certified Clinical Nurse Specialist,364S00000X,Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist,GOOD,
Certified Clinical Nurse Specialist,364SA2100X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Acute Care",GOOD,
Certified Clinical Nurse Specialist,364SC2300X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Chronic Care",GOOD,
Certified Clinical Nurse Specialist,364SM0705X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Medical-Surgical",GOOD,
Certified Clinical Nurse Specialist,364SN0800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Neuroscience",GOOD,
Certified Clinical Nurse Specialist,364SW0102X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Women’s Health",GOOD,
Physician/Neuropsychiatry,2084P2900X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Pain Medicine",GOOD,
Physician/Neuropsychiatry,2084S0010X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sports Medicine",GOOD,
Physician/Preventive Medicine,2083S0010X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Sports Medicine",GOOD,
Physician/Pain Management,208VP0000X,"Allopathic & Osteopathic Physicians/Pain Medicine, Pain Medicine",GOOD,
Physician/Rheumatology,207RR0500X,"Allopathic & Osteopathic Physicians/Internal Medicine, Rheumatology",GOOD,
